x,y
7975.75,1941.413043
49969.30729,1601.562092
54438.39063,2186.084967
17848.84375,1972.942197
65654.60938,2108.613924
39321.79688,2071.263566
110206.6719,2028.311111
132803.9115,2183.281481
164414.4427,2250.597561
176477.5625,2048.56129
141178.2552,2138.212121
154011.3385,2188.75
78954.67188,2178.69281
82891.57813,2130.05298
48394.60938,1880.641176
53822.99479,1652.447205
29844.38542,2058.909091
50868.27604,1808.460993
24194.59896,2069.333333
11155.21354,1823.898649
13859.82292,1786.582781
11232.45313,1940.179856
17609.50521,1481.303279
2909.265625,1782.235669
5181.567708,1352.780488
3472.557292,1669.823529
5192.411458,1646.040541
12983.875,1277.77665
10471.45833,1566.210191
21474.57813,1246.411043
4499.828125,1703.14094
4908.822917,1395.9875
2570.916667,1648.891892
3733.046875,1648.046667
3859.223958,1593.186207
12840.32813,1543.601449
24676.54688,1425.907143
32692.85938,1890.978261
26675.75521,1929.785185
13980.45313,2046.065789
45613.23438,2095.637584
59678.86979,2058.886957
8051.734375,2017.871287
6138.052083,1689.619355
4690.770833,1615.869048
7205.697917,1443.969512
4029.302083,1410.903553
11945.78125,1597.074286
2933.786458,1456.850575
13845.72396,1540.62069
2751.34375,1123.198864
8266.489583,2014.726496
2657.953125,1228.078313
10247.10417,1910.492754
15452.30729,1505.550296
5174.755208,1966.68
11230.01042,2185.944
10762.40104,1309.807692
16809.36979,2104.021583
23082.82292,2079.007092
26667.21354,2168.993506
55554.39583,2253.391026
19860.3125,2262.469231
29796.01042,2151.512821
21434.125,2264.541667
35752.28646,2209.278571
132738.2552,2042.078947
86371.80729,1655.34375
47876.86458,2108.331081
28019.35938,2158.262821
29977.43229,2346.00641
30939.52083,2256.327869
71558.05729,2213.734807
39290.22396,2466.559211
71334.70833,2081.829268
118006.5729,2282.682796
98467.25521,2129.953216
115423.8542,2704.442857
114530.1615,2455.793548
134362.8177,1695.748148
83450.88542,2047.33557
107043.4583,1781.730061
94918.79688,2522.057325
93190.73958,2135.994048
69696.02604,2196.737805
39724.89063,1685.904494
35379.625,1824.153333
30852.65104,1788.988439
52196.33854,1153.058824
65072.22917,1422.857955
46447.35938,1232.980892
28537.31771,1416.820359
16196.09896,1404.27381
14669.46875,1169.52973
7223.619792,1322.816794
6280.666667,974.8874172
5277.78125,1097.301676
2715.114583,1166.369128
5050.901042,1407.48227
4038.713542,1251.304054
7230.307292,1322.510638
5710.130208,1416.630303
4326.802083,1082.641892
6135.953125,1362.917197
4328.005208,1115.914286
1849.697917,1241.392405
2497.651042,1198.583333
1223.140625,1235.664516
1952.791667,1295.013986
1242.963542,1002.02963
