x,y,
1.67E+12,2.523263889,10/10/2022 0:30
1.67E+12,2.529513889,10/10/2022 1:00
1.67E+12,2.5203125,10/10/2022 1:30
1.67E+12,2.515104167,10/10/2022 2:00
1.67E+12,2.508506944,10/10/2022 2:30
1.67E+12,2.507465278,10/10/2022 3:00
1.67E+12,2.5046875,10/10/2022 3:30
1.67E+12,2.500347222,10/10/2022 4:00
1.67E+12,2.5015625,10/10/2022 4:30
1.67E+12,2.500868056,10/10/2022 5:00
1.67E+12,2.4953125,10/10/2022 5:30
1.67E+12,2.487152778,10/10/2022 6:00
1.67E+12,2.475,10/10/2022 6:30
1.67E+12,2.466319444,10/10/2022 7:00
1.67E+12,2.459895833,10/10/2022 7:30
1.67E+12,2.453645833,10/10/2022 8:00
1.67E+12,2.450347222,10/10/2022 8:30
1.67E+12,2.443055556,10/10/2022 9:00
1.67E+12,2.441493056,10/10/2022 9:30
1.67E+12,2.434722222,10/10/2022 10:00
1.67E+12,2.429340278,10/10/2022 10:30
1.67E+12,2.427604167,10/10/2022 11:00
1.67E+12,2.4265625,10/10/2022 11:30
1.67E+12,2.427256944,10/10/2022 12:00
1.67E+12,2.430034722,10/10/2022 12:30
1.67E+12,2.433333333,10/10/2022 13:00
1.67E+12,2.435416667,10/10/2022 13:30
1.67E+12,2.442708333,10/10/2022 14:00
1.67E+12,2.450347222,10/10/2022 14:30
1.67E+12,2.454513889,10/10/2022 15:00
1.67E+12,2.457291667,10/10/2022 15:30
1.67E+12,2.468055556,10/10/2022 16:00
1.67E+12,2.486631944,10/10/2022 16:30
1.67E+12,2.511111111,10/10/2022 17:00
1.67E+12,2.535243056,10/10/2022 17:30
1.67E+12,2.553125,10/10/2022 18:00
1.67E+12,2.570486111,10/10/2022 18:30
1.67E+12,2.586979167,10/10/2022 19:00
1.67E+12,2.6,10/10/2022 19:30
1.67E+12,2.615104167,10/10/2022 20:00
1.67E+12,2.631423611,10/10/2022 20:30
1.67E+12,2.650868056,10/10/2022 21:00
1.67E+12,2.666840278,10/10/2022 21:30
1.67E+12,2.683333333,10/10/2022 22:00
1.67E+12,2.694965278,10/10/2022 22:30
1.67E+12,2.717013889,10/10/2022 23:00
1.67E+12,2.743055556,10/10/2022 23:30
1.67E+12,2.757291667,11/10/2022 0:00
